Employee_ID,Age,Years_Experience,Tenure_TCS,Job_Level,Department,Skill_AI_Basic,Skill_AI_Advanced,Skill_Cloud,Billable_Days,Bench_Days,Project_Type,Performance_Score,Redeployment_Attempts,Geographic_Region,Salary,Client_Satisfaction,Layoff_Status
EMP000001,38,8.2,3.9,Senior,Others,True,False,Basic,198,17,Agile,3.1,0,North America,144074.49,5.0,False
EMP000002,33,10.9,2.9,Mid,Engineering,False,False,Advanced,180,9,Agile,2.6,2,India,50533.03,3.13,False
EMP000003,40,10.0,2.8,Junior,Consulting,True,False,None,140,7,Product-Aligned,4.4,2,North America,32257.46,,False
EMP000004,47,10.7,5.3,Senior,Engineering,True,False,None,166,25,Agile,3.3,2,India,123497.63,4.02,False
EMP000005,33,5.1,1.8,Junior,BPO,True,False,Basic,184,19,Agile,3.0,1,North America,27102.11,3.73,False
EMP000006,33,11.6,3.5,Junior,BPO,True,False,Advanced,174,5,Waterfall,2.7,2,India,33305.11,,False
EMP000007,47,4.4,2.8,Mid,Engineering,True,True,None,149,7,Waterfall,3.8,1,North America,66267.39,4.09,False
EMP000008,41,8.8,3.2,Senior,Consulting,True,False,Basic,260,17,Product-Aligned,4.9,0,North America,120413.47,,False
EMP000009,31,14.8,10.4,Junior,BPO,True,True,None,219,8,Agile,3.4,3,North America,35927.69,4.15,False
EMP000010,39,7.1,3.6,Mid,BPO,True,False,Basic,191,29,None,3.6,1,India,69967.09,4.75,False
EMP000011,31,10.4,2.9,Mid,IT Services,True,False,Basic,225,7,Agile,3.8,0,Europe,58044.13,,False
EMP000012,31,7.6,5.0,Senior,BPO,True,False,Advanced,189,12,Product-Aligned,3.5,1,India,102958.47,3.2,False
EMP000013,36,6.0,3.1,Mid,BPO,True,False,None,260,7,Product-Aligned,2.2,3,APAC,74577.73,,False
EMP000014,22,8.3,1.9,Mid,Consulting,False,False,None,260,30,Product-Aligned,3.3,0,Europe,79554.68,,False
EMP000015,22,5.3,2.8,Mid,Consulting,True,False,Basic,260,6,Agile,3.1,3,India,75262.91,4.97,False
EMP000016,30,5.9,5.9,Mid,IT Services,True,False,Basic,240,9,Waterfall,4.0,0,Europe,60294.4,4.02,False
EMP000017,26,6.8,6.2,Junior,IT Services,True,False,Advanced,184,12,Agile,3.8,2,India,27606.47,,False
EMP000018,37,15.1,2.9,Senior,Engineering,True,False,None,122,5,Product-Aligned,3.4,3,India,120807.05,,False
EMP000019,27,11.6,3.4,Mid,IT Services,False,False,None,253,7,Product-Aligned,3.9,1,Europe,55862.52,2.73,False
EMP000020,23,7.5,4.5,Mid,BPO,True,False,Basic,180,40,Agile,3.5,0,Europe,65296.48,,False
EMP000021,46,4.9,4.4,Mid,IT Services,True,False,Basic,200,10,Waterfall,2.7,1,APAC,69893.71,3.56,False
EMP000022,33,9.4,4.2,Junior,Consulting,True,False,Advanced,216,7,Agile,3.0,0,India,23194.99,,False
EMP000023,35,9.4,2.3,Mid,BPO,True,False,None,223,15,Product-Aligned,3.7,2,North America,55635.1,4.2,False
EMP000024,23,8.7,2.2,Mid,Engineering,True,False,None,214,13,Agile,3.0,2,India,75873.7,,False
EMP000025,30,9.7,2.4,Junior,IT Services,True,False,Basic,168,16,Waterfall,4.6,0,India,35713.63,,False
EMP000026,35,8.7,3.0,Junior,BPO,False,False,Basic,193,6,Waterfall,3.2,0,North America,23865.31,,False
EMP000027,25,10.8,2.6,Mid,Engineering,True,True,None,187,9,Agile,2.7,0,India,52266.84,,False
EMP000028,38,12.8,3.4,Mid,IT Services,True,False,Basic,243,15,Agile,4.9,1,India,56536.41,4.35,False
EMP000029,30,9.3,4.5,Senior,Consulting,True,True,None,186,9,None,3.8,0,North America,103364.73,3.89,False
EMP000030,32,4.4,4.4,Mid,Engineering,True,True,None,189,8,Waterfall,4.9,1,North America,58264.57,3.68,False
EMP000031,30,2.7,2.7,Junior,Engineering,False,False,None,203,29,Product-Aligned,3.8,0,India,25528.72,4.6,False
EMP000032,49,9.9,7.0,Junior,Engineering,True,False,Basic,188,17,Waterfall,3.0,2,Europe,41502.96,4.52,False
EMP000033,34,7.6,2.7,Mid,Engineering,True,False,Basic,199,15,Waterfall,3.5,1,India,54405.49,3.74,False
EMP000034,26,10.9,6.9,Senior,Consulting,True,False,None,157,8,Product-Aligned,3.1,2,Others,123807.42,3.42,False
EMP000035,41,10.1,3.5,Junior,IT Services,True,False,None,154,8,Agile,4.5,1,India,26358.86,3.09,False
EMP000036,25,16.0,3.4,Mid,Consulting,True,True,Advanced,176,17,Waterfall,3.6,0,India,61060.05,3.88,False
EMP000037,36,6.6,6.1,Junior,Consulting,False,False,None,213,11,Waterfall,5.0,0,India,36799.63,5.0,False
EMP000038,22,5.9,4.4,Junior,Engineering,True,False,None,164,9,Product-Aligned,3.7,0,India,25517.61,,False
EMP000039,24,10.2,5.4,Mid,IT Services,True,False,Basic,210,8,Waterfall,5.0,0,North America,63722.32,5.0,False
EMP000040,36,10.1,6.2,Mid,Consulting,True,False,None,238,18,Product-Aligned,3.2,1,India,60140.72,3.15,False
EMP000041,40,9.4,6.0,Junior,IT Services,True,False,Basic,140,10,Waterfall,2.8,2,India,36318.46,4.5,True
EMP000042,36,10.1,3.3,Senior,Others,True,False,Basic,161,17,Agile,3.9,0,North America,99791.35,3.95,False
EMP000043,34,6.0,5.0,Mid,Consulting,True,False,None,145,8,Agile,3.1,0,India,52585.29,4.39,False
EMP000044,32,7.1,0.8,Mid,IT Services,True,False,None,143,35,Waterfall,4.5,2,APAC,51448.53,5.0,False
EMP000045,23,10.6,4.4,Mid,BPO,True,False,None,108,6,Agile,4.0,0,Europe,67607.69,4.8,False
EMP000046,29,9.8,6.5,Junior,Consulting,True,False,None,207,14,Agile,2.9,4,North America,23819.81,5.0,False
EMP000047,31,3.7,3.6,Senior,Others,True,False,Advanced,164,14,Waterfall,3.6,1,Europe,92412.49,3.38,False
EMP000048,43,8.6,8.3,Mid,BPO,True,False,None,207,12,None,4.9,1,India,83074.06,,False
EMP000049,37,6.1,3.4,Senior,Consulting,True,False,None,238,1,Waterfall,4.3,0,India,133341.08,,False
EMP000050,22,11.5,3.8,Junior,IT Services,True,False,None,161,12,Agile,2.4,3,North America,25094.55,2.53,False
EMP000051,37,8.4,3.6,Senior,IT Services,True,False,Basic,230,6,Waterfall,4.9,2,Others,109799.58,,False
EMP000052,31,13.8,2.0,Junior,Consulting,False,False,Advanced,245,12,Agile,4.4,1,North America,22615.97,3.79,False
EMP000053,29,8.0,6.3,Junior,IT Services,True,False,None,173,4,Waterfall,4.0,3,India,20418.11,5.0,False
EMP000054,39,9.2,7.1,Junior,BPO,True,False,None,120,14,Waterfall,4.7,3,Europe,22839.47,4.97,False
EMP000055,43,7.2,3.3,Senior,Consulting,True,False,None,151,22,Product-Aligned,3.7,1,India,141384.97,3.76,False
EMP000056,42,14.2,3.9,Junior,Consulting,True,False,Basic,260,12,Agile,3.0,0,India,42179.32,4.43,False
EMP000057,28,3.3,2.1,Mid,IT Services,True,False,None,189,9,Agile,4.7,1,India,53041.13,4.21,False
EMP000058,32,5.7,5.0,Junior,IT Services,True,False,None,240,7,Product-Aligned,2.6,3,Europe,36307.39,3.11,False
EMP000059,37,10.4,4.1,Junior,Consulting,True,False,Basic,200,15,Product-Aligned,2.9,2,APAC,29863.88,,False
EMP000060,42,13.5,4.8,Mid,BPO,True,True,Basic,129,6,Product-Aligned,5.0,2,India,75776.19,4.24,False
